Designator;Val;Package;Mid X;Mid Y;Rotation;Side
C1;1uF;C_0603;154.813000;-59.436000;0.000000;top
C2;10uF;C_1206;161.417000;-60.071000;90.000000;top
C3;10uF;C_1206;144.907000;-62.992000;0.000000;top
C4;100nF;C_0402;187.964000;-60.501000;-90.000000;top
C5;10uF;C_1206;185.801000;-64.262000;0.000000;top
C6;100nF;C_0402;184.524000;-62.099000;0.000000;top
C7;100nF;C_0402;165.149000;-59.178000;0.000000;top
D1;BAT54CLT3G;"D_SOT23_TO263""";149.952500;-59.550000;0.000000;top
H1;01x02 P2.54mm;Pin_Header_01x02_P2.54mm;143.500000;-59.500000;180.000000;top
H2;01x05 P2.54mm;Pin_Header_01x05_P2.54mm;148.971000;-66.421000;0.000000;top
H3;01x04 P1.27mm;Pin_Header_01x04_P1.27mm;172.722000;-58.327000;0.000000;top
LED1;Green;LED_0805_2012Metric;158.877000;-60.706000;-90.000000;top
LED2;UHD111A-FKA;LED_RGB_404;196.679000;-62.625000;45.000000;top
Q1;2N7002;D_SOT23_TO263;190.817500;-59.086000;0.000000;top
Q2;2N7002;D_SOT23_TO263;190.817500;-62.642000;0.000000;top
Q3;2N7002;D_SOT23_TO263;190.817500;-66.198000;0.000000;top
R1;590;R_0402;195.707000;-66.040000;180.000000;top
R2;590;R_0402;194.818000;-62.581000;-90.000000;top
R3;590;R_0402;195.707000;-59.055000;180.000000;top
R4;0;R_0402;140.589000;-66.040000;-90.000000;top
R5;10K;R_0402;153.035000;-57.912000;0.000000;top
R6;5.1K;R_0402;150.241000;-61.976000;0.000000;top
R7;5.1K;R_0402;150.241000;-63.246000;0.000000;top
R8;10K;R_0402;154.305000;-61.976000;0.000000;top
R9;10K;R_0402;154.305000;-63.373000;0.000000;top
R10;10K;R_0402;168.402000;-59.152000;0.000000;top
R11;10K;R_0402;176.149000;-65.430400;-90.000000;top
R12;10K;R_0402;175.158400;-60.807600;180.000000;top
R13;0;R_0402;163.957000;-64.359000;-90.000000;top
R14;0;R_0402;163.957000;-61.057000;-90.000000;top
R15;0;R_0402;163.957000;-66.645000;90.000000;top
SW1;~;SW_6x6;180.107000;-62.517000;90.000000;top
U1;PIC16LF1829;SSOP-20_5.3x7.2mm_P0.65mm;169.362000;-63.728000;0.000000;top
U2;KXTJ3-1057;LGA-12_2x2mm_P0.5mm;185.927500;-60.181500;0.000000;top
U3;TPS76933DBVR;SOT-23-5_HandSoldering;159.766000;-65.786000;0.000000;top
USB1;~;Custom_USB_Micro-B_Amphenol_10118194_Horizontal;137.300000;-62.500000;-90.000000;top
